Price,Year,Mileage,City,State,Vin,Make,Model
82888,2014,20614,Boerne, TX,5YJSA1H29EFP69154,Tesla,Model
84000,2015,18500,Baltimore, MD,5YJSA1E43FF113782,Tesla,Model
90500,2016,7200,Tacoma, WA,5YJSA1E27GF160832,Tesla,Model
89980,2016,19403,Sacramento, CA,5YJSA1E25GF122208,Tesla,Model
89988,2016,25390,Seattle, WA,5YJSA1E46GF128357,Tesla,Model
78230,2016,1434,Philadelphia, PA,5YJXCDE24GF030086,Tesla,Model
94992,2017,777,Fremont, CA,5YJSA1E2XHF197231,Tesla,Model
94980,2015,1594,Newport Beach, CA,5YJSA1E41FF102036,Tesla,Model
79230,2016,10338,Philadelphia, PA,5YJXCBE22GF008043,Tesla,Model
82987,2016,11867,Gilbert, AZ,5YJSA1E2XGF145189,Tesla,Model
80980,2016,12129,Philadelphia, PA,5YJXCBE23GF014496,Tesla,Model
95980,2016,15425,Pleasanton, CA,5YJSA1E40GF142626,Tesla,Model
74900,2010,41000,Kansas City, MO,5YJRE1A31A1000502,Tesla,Roadster2dr
80380,2016,23366,Philadelphia, PA,5YJXCBE28GF007009,Tesla,Model
82965,2017,16087,Haines CIty, FL,5YJXCDE24HF037833,Tesla,Model
96800,2015,3746,Warrenville, IL,5YJSA1E4XFF119787,Tesla,Model
100987,2016,4145,Highlands Ranch, CO,5YJSA1E43GF122581,Tesla,Model
99999,2016,5562,Orlando, FL,5YJSA1E46GF146907,Tesla,Model
84899,2016,4600,Miami, FL,5YJXCDE23GF025963,Tesla,Model
101986,2016,10181,Seattle, WA,5YJSA1E47GF128996,Tesla,Model
87988,2016,6954,San Rafael, CA,5YJXCAE28GF020210,Tesla,Model
87985,2016,3984,Bellevue, WA,5YJXCAE29GF016389,Tesla,Model
87997,2016,15605,Las Vegas, NV,5YJXCAE29GF002718,Tesla,Model
88800,2016,7954,Westmont, IL,5YJXCBE25GF004391,Tesla,Model
88995,2016,6597,Hayward, CA,5YJXCBE22GF017938,Tesla,Model
89997,2016,9441,Glendale, WI,5YJXCBE22GF011816,Tesla,Model
90000,2016,14502,McKinney, TX,5YJXCBE21GF002928,Tesla,Model
89995,2016,6492,Columbia, TN,5YJXCAE24GF003369,Tesla,Model
91870,2016,6205,Mount Juliet, TN,5YJXCBE20GF005769,Tesla,Model
92980,2016,2946,Philadelphia, PA,5YJXCAE41GF001175,Tesla,Model
95900,2016,4028,Marietta, GA,5YJXCAE26GF005656,Tesla,Model
96995,2016,6638,Teterboro, NJ,5YJXCAE42GF006269,Tesla,Model
98874,2016,9631,TYLER, TX,5YJXCAE45GF001325,Tesla,Model
99800,2016,2387,Warrenville, IL,5YJXCAE49GFS00068,Tesla,Model
99800,2016,3018,Warrenville, IL,5YJXCDE49GF025922,Tesla,Model
99978,2016,4587,Houston, TX,5YJXCBE46GFS00714,Tesla,Model
102498,2016,10166,Playa Vista, CA,5YJXCBE43GF001359,Tesla,Model
87500,2016,12200,Vallejo, CA,5YJXCBE21GF002458,Tesla,Model
105900,2016,3362,Gilbert, AZ,5YJXCAE47GFS00215,Tesla,Model
109157,2016,5505,Lewisville, TX,5YJXCAE44GFS00849,Tesla,Model
98000,2016,13714,Morrisville, NC,5YJXCBE43GF003841,Tesla,Model
159985,2016,21,Downers Grove, IL,5YJXCAE47GFS02692,Tesla,Model
