,Price,Year,Mileage,State,Vin,Make,Model,Condition,Sales_Channel
845740,18388,2015,18867,CA,WVGAV7AX7FW507103,Volkswagen,Tiguansel,,Public
720559,41999,2016,45779,CA,3C6UR5CL8GG146900,Ram,25004Wd,,Public
264295,20187,2017,26242,MI,1FMCU9G90HUB46215,Ford,Escape4Wd,,Public
184425,49777,2015,70697,TX,1GC4K1E82FF614909,Chevrolet,Silverado,,Public
382782,18285,2016,10098,TX,19XFC2F56GE009349,Honda,Civic,,Public
213315,19608,2017,13365,FL,3C4PDCGG7HT530939,Dodge,Journeycrossroad,,Public
669900,28494,2017,1298,GA,5N1AZ2MG1HN144390,Nissan,Muranofwd,,Public
613808,36354,2015,33566,CT,WDDHF8JB4FB104087,Mercedes-Benz,E-Classe350,,Public
243319,16987,2017,22950,TX,3FA6P0HD0HR115356,Ford,Fusionse,,Public
521200,10400,2015,40101,OH,KNAFK4A60F5374972,Kia,Fortelx,,Public
640202,14598,2016,3691,FL,3N1AB7AP7GL680966,Nissan,Sentrasv,,Public
18909,32965,2016,36795,GA,WA1C2AFP3GA055509,Audi,Q5Quattro,,Public
640496,18732,2017,14339,NC,1N4AL3APXHC208279,Nissan,Altima2.5,,Public
156213,26995,2014,82461,TX,3GCUKREC4EG208338,Chevrolet,Silverado,,Public
350246,17750,2015,17818,KY,2GKALMEK8F6360179,Gmc,Terrainfwd,,Public
840086,12495,2011,79653,TX,WVGAV7AX0BW527851,Volkswagen,Tiguan2Wd,,Public
807672,33300,2014,20066,NY,5TDDKRFH0ES023389,Toyota,Highlanderawd,,Public
516024,31995,2013,68162,KS,1C4BJWEG4DL563250,Jeep,Wrangler,,Public
555837,9000,2005,116134,WA,JTHBA30G955082355,Lexus,Es,,Public
642748,12500,2013,68597,OK,1N4AL2EP8DC282881,Nissan,Altimacoupe,,Public
563003,35411,2016,19434,CA,58ABK1GG3GU006586,Lexus,Es,,Public
115757,11900,2013,58077,PA,3GNAL2EK7DS622439,Chevrolet,Captiva,,Public
835987,9095,2010,82205,FL,3VWJX7AJ3AM025745,Volkswagen,Jetta,,Public
