,Price,Year,Mileage,State,Vin,Make,Model,Condition,Sales_Channel
416343,0,2016,26563,AR,KL4CJESB2GB699758,Buick,Encore Base,Good,Public
463114,14750,2016,39125,TN,1g1zh5sx9gf258041,Chevrolet,Malibu Premier,Excellent,Public
383913,36995,2014,61863,OR,SALGS2WF3EA163803,Rover,Hse 4Wd,Unknown,Public
346977,9950,2010,188272,WI,1FTSW2B54AEB41010,Ford,F-250,Unknown,Public
527312,7499,2011,138773,NC,1FTMF1CM5BKD97636,Ford,F-150,Unknown,Public
137524,19500,2018,24398,IN,JHMFC1F34JX020929,Honda,Civic Ex-T Sedan 4D,Good,Public
219965,17995,2015,110197,MI,1C4RDJDG6FC702758,Dodge,Durango,Unknown,Public
284344,6800,2013,216800,LA,1FM5K7B98DGB54503,Ford,Explorer,Good,Public
141315,5995,2006,115529,IN,1D7HE22K76S702589,Dodge,Dakota,Excellent,Public
112787,12995,2010,95945,RI,SALSF2D48AA239364,Rover,Range Sport Hse,Like New,Public
83805,4995,2010,116411,TX,WVWJK7AN8AE060064,Volkswagen,Passat,Good,Public
315494,25500,2014,94000,OR,1C4BJWFG3EL174244,Jeep,Wrangler Unlimited,Excellent,Public
221989,7995,2013,141238,NY,5NPEB4AC5DH550772,Hyundai,Sonata Gls,Like New,Public
513980,26999,2016,93446,WA,3GCUKREC6GG272254,Chevrolet,Silverado 1500,Unknown,Public
3358,14999,2013,52520,TN,1FTMF1EM8DKD30349,Ford,F-150,Good,Public
43593,0,2014,66665,LA,4T1BK1EBXEU117230,Toyota,Avalon,Unknown,Public
331797,16995,2009,144485,WI,1GTHK59K59E147137,Gmc,Sierra 2500Hd,Unknown,Public
19112,9999,2004,293846,WA,1GCHK23284F207003,Chevrolet,Silverado,Unknown,Public
94909,14950,2013,86005,AL,2G1FB3D3XD9162863,Chevrolet,Camaro,Excellent,Public
111127,9650,2006,158400,KY,2GCEK13Z761288130,Chevrolet,Silverado,Unknown,Public
75161,1385,2013,124504,CA,2FMDK3JC0DBC49453,Ford,Edge Sel,Excellent,Public
421825,24900,2016,36000,MI,1GCVKNEC5GZ223057,Chevrolet,Silverado,Excellent,Public
490871,6995,2013,150495,RI,1FTFX1CF8DKF12224,Ford,F150,Unknown,Public
326881,14500,2014,125970,IL,1GKKVTKD2EJ247067,Gmc,Acadia,Good,Public
327199,5999,2012,120034,HI,KNDJT2A68C7361434,Kia,Soul,Unknown,Public
355043,20980,2009,29181,OR,3GNFK220X9G192122,Chevrolet,Avalanche,Excellent,Public
145984,15799,2018,39084,IA,1N4AL3AP5JC271103,Nissan,Altima,Excellent,Public
459510,0,2005,212788,NC,5N1AA08A65N715854,Nissan,Armada Le,Good,Public
129052,4900,2005,113730,FL,1J4HS58N15C574634,Jeep,Grand Cherokee,Unknown,Public
245196,14999,2017,63800,CA,1FMCU0GDXHUD95461,Ford,Escape,Excellent,Public
425665,2000,1995,135593,CA,JT8GK13T3S0081873,Lexus,Es 300,Unknown,Auction
253274,28499,2017,19594,WA,2C3CDXCT9HH541219,Dodge,Charger R/T Rwd Gas Sedan,Unknown,Public
360828,22020,2019,4640,NY,JTNK4RBE6K3033785,Toyota,Corolla Hatchback,Excellent,Public
270974,2995,1997,200767,WA,3GNFK16R8VG179804,Chevrolet,Suburban,Excellent,Auction
164856,10495,2015,64000,AZ,KNAFK4A60F5425497,Kia,Forte,Excellent,Public
54687,0,2019,16747,NC,JM3KFBDM4K0605164,Mazda,Cx-5,Unknown,Public
497452,5450,2008,135433,SC,2G2WP552381167289,Pontiac,Grand Prix,Unknown,Public
199432,12990,2011,94837,NH,1D4SE4GT0BC595308,Dodge,Durango,Excellent,Public
373909,1950,1997,150000,CA,1FTFF27M2VKD32952,Ford,F250,Excellent,Auction
186982,12995,2014,67360,NM,5XYZUDLB3EG129335,Hyundai,Santa Fe,Good,Public
429783,9995,2013,126434,VA,2G61N5S39D9138466,Cadillac,Xts,Excellent,Public
298962,1,2016,76945,FL,1C3CCCAB3GN137277,Chrysler,200 Limited,Like New,Public
196218,33999,2015,84070,AR,1GKS2CKJ2FR244929,Gmc,Yukon Denali 4Wd,Good,Public
247835,11995,2011,76521,FL,WAUCFAFRXBA043794,Audi,A5 Premium Quattro,Excellent,Public
190937,15250,2018,39711,IN,KL4CJASB0JB594183,Buick,Encore,Unknown,Public
171961,23795,2019,17764,VT,1N6AD0EV3KN766837,Nissan,Frontier Crew Cab Sv,Like New,Public
71023,5995,2007,253408,KS,1FTPW14V27KA79694,Ford,F-150 King Ranch,Unknown,Public
9858,15700,2018,34071,TN,MAJ3P1VEXJC197235,Ford,Ecosport Titanium Sport,Good,Public
127305,25999,2013,87945,WA,3TMLU4EN6DM107439,Toyota,Tacoma Trd Off Road 4X4,Unknown,Public
