,Price,Year,Mileage,State,Vin,Make,Model,Condition,Sales_Channel
353,24800,2017,35251,VA,1GYKNARS3HZ178359,Cadillac,Xt5,Unknown,Public
354,0,2012,89755,FL,1C6RD7NT3CS158470,Ram,1500,Excellent,Public
355,18900,2014,80569,PA,5TDJK3DC9ES072386,Toyota,Sienna Le Minivan 4D,Good,Public
356,5999,2005,78698,OR,4F4YR12DX5PM02533,Mazda,B2300,Unknown,Public
357,10618,2013,56812,CA,JN8AS5MV9DW638885,Nissan,Rogue S,Good,Public
358,5995,2010,212872,VA,1N6AD0EV9AC410631,Nissan,Frontier 4X4,Excellent,Public
359,13995,2008,94861,KY,2GCEK19C781312657,Chevrolet,Silverado 1500,Excellent,Public
360,8988,2007,102540,MN,1FMEU74857UA54895,Ford,Explorer,Unknown,Public
361,15999,2012,125994,SC,3GCPCSE08CG134460,Chevrolet,"Silverado 1500 2Wd Crew Cab 143.5"" Lt",Unknown,Public
362,14999,2013,18287,AK,1FAHP2H80DG106553,Ford,Taurus,Unknown,Public
363,31990,2014,136473,CT,1FT8X3BT9EEA75944,Ford,F-350,Unknown,Public
364,25995,2014,75486,AR,3GTU2VEC1EG238745,Gmc,Sierra 1500 Slt 4X4 4Dr Crew,Good,Public
365,15600,2015,48014,AL,1N6BD0CT6FN753740,Nissan,Frontier King Cab S,Good,Public
366,2000,2020,2295,FL,1N4BL4BV6LC199631,Nissan,Altima 2.5S,Like New,Public
367,4900,2006,102500,PA,3LNHM26146R633334,Lincoln,Mkz,Excellent,Public
368,7400,1997,117172,OH,ij4fyi9s9vp446346,Jeep,Wrangler,Good,Auction
369,51995,2018,17470,NJ,WBAJB9C51JB034669,Bmw,5 Series,Unknown,Public
370,36995,2019,9008,NY,5UXTR9C50KLE13683,Bmw,X3,Unknown,Public
371,21991,1986,154468,UT,1FABP26M0GF248644,Ford,Mustang,Excellent,Auction
372,0,2018,32989,MO,5TDJZRFH4JS544771,Toyota,Highlander,Excellent,Public
373,19850,2012,90581,WA,SALAK2D4XCA611359,Rover,Lr4 Hse Lux --3Rd Ro,Unknown,Public
374,25995,2017,30331,PA,1GCVKREC9HZ101276,Chevrolet,Silverado,Good,Public
375,16999,2017,21397,OR,19XFC2F52HE207864,Honda,Civic Lx,Like New,Public
376,11999,2008,153682,NC,5N3AA08C08N901239,Infiniti,Qx56,Like New,Public
377,0,2012,88909,NY,1GCRKSE76CZ261295,Chevrolet,Silverado 1500 Extended Cab,Unknown,Public
378,9995,2007,175481,OH,3GNEC12J37G217158,Chevrolet,Avalanche,Unknown,Public
379,0,2004,73693,TN,1N6AA06AX4N566982,Nissan,Titan Se 4Dr King Cab Rwd Sb Automatic,Unknown,Public
380,17550,2019,40687,IA,3FA6P0CD1KR145304,Ford,Fusion,Excellent,Public
381,3995,2009,100000,OH,1FAHP35N59W109669,Ford,Focus Se,Unknown,Public
382,8500,2014,52840,CA,1G4PR5SK3E4123755,Buick,Verano,Unknown,Public
383,24550,2016,92333,WI,1FTFX1EG1GFA51872,Ford,F-150,Unknown,Public
384,4950,2011,118251,CO,JN8AS5MV2BW283720,Nissan,Rogue,Excellent,Public
385,4900,2010,155678,MN,3FADO0L35AR336334,Ford,Fusion Hybrid,Unknown,Public
